securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
Wilmar International Ltd,0P0000A6QL,0P0000A6QL,E,0.24279,3229700.0,9035197.0,403700.0,Singapore,F34,15.8879,,4,Undervalued,,Consumer Defensive,consumerDefensive,"{'trend': [7836139.0, 7515344.0, 8602960.0, 9035197.0]}",Equity,SG1T56930848,,,,,,2026-02-06T06:00:00.000,,,SGD,SGD,,,,0,,,,False,,,,0,,,,29.219,3.0,2026-01-07T06:00:00.000,Medium,,,4,Quan,ST,SGP,Singapore Dollar,9035197.0,False
Qantas Airways Ltd,0P00006WUB,0P00006WUB,E,0.23933,1197430.0,8906408.0,-34872.0,Australia,QAN,20.8026,,3,Fairly Valued,None,Industrials,industrials,"{'trend': [7865033.0, 8332691.0, 8716023.0, 8906408.0]}",Equity,AU000000QAN2,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,24.915,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,8906408.0,False
CK Infrastructure Holdings Ltd,0P00009S5G,0P00009S5G,E,0.23388,1046500.0,8703538.0,104500.0,United Kingdom,01038,28.0729,,3,Fairly Valued,None,Utilities,utilities,"{'trend': [7269189.0, 7781384.0, 8527232.0, 8703538.0]}",Equity,BMG2178K1009,,,,,,2026-02-06T06:00:00.000,,,HKD,HKD,,,,0,,,,False,,,,0,,,,29.1793,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,BMU,Hong Kong Dollar,8703538.0,False
SITC International Holdings Co Ltd,0P0000PYO6,0P0000PYO6,E,0.23373,2248000.0,8698039.0,213000.0,Hong Kong,01308,104.0184,,3,Fairly Valued,,Industrials,industrials,"{'trend': [7521655.0, 7849551.0, 8350554.0, 8698039.0]}",Equity,KYG8187G1055,,,,,,2026-02-06T06:00:00.000,,,HKD,HKD,,,,0,,,,False,,,,0,,,,17.7206,4.0,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,CYM,Hong Kong Dollar,8698039.0,False
Pro Medicus Ltd,0P00006WTX,,E,0.22584,94728.0,8404261.0,8342.0,Australia,PME,-55.5874,,1,Overvalued,Narrow,Healthcare,healthcare,"{'trend': [16197208.0, 13949125.0, 12264951.0, 8404261.0]}",Equity,AU000000PME8,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,16.5484,4.0,2026-01-07T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,8404261.0,False
Contact Energy Ltd,0P00007XW0,0P00007XW0,E,0.2006,1375412.0,7465125.0,1375412.0,New Zealand,CEN,6.9869,,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [7630560.0, 7355104.0, 8025809.0, 7465125.0]}",Equity,NZCENE0001S6,,,,,,2026-02-06T06:00:00.000,,,NZD,NZD,,,,0,,,,False,,,,0,,,,28.7152,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,NZL,New Zealand Dollar,7465125.0,False
Sembcorp Industries Ltd,0P0000A6AM,0P0000A6AM,E,0.1953,1459800.0,7267852.0,106000.0,Singapore,U96,18.7726,,3,Fairly Valued,,Utilities,utilities,"{'trend': [6928701.0, 6864485.0, 7146191.0, 7267852.0]}",Equity,SG1R50925390,,,,,,2026-02-06T06:00:00.000,,,SGD,SGD,,,,0,,,,False,,,,0,,,,28.4137,3.0,2026-01-07T06:00:00.000,Medium,,,3,Quan,ST,SGP,Singapore Dollar,7267852.0,False
Meridian Energy Ltd,0P0000ZT99,0P0000ZT99,E,0.19285,2130816.0,7176844.0,216438.0,New Zealand,MEL,-1.1045,,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [6911224.0, 6898445.0, 7513515.0, 7176844.0]}",Equity,NZMELE0002S7,,,,,,2026-02-06T06:00:00.000,,,NZD,NZD,,,,0,,,,False,,,,0,,,,19.5446,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,NZL,New Zealand Dollar,7176844.0,False
Swire Pacific Ltd Class A,0P00009RPF,0P00009RPF,E,0.15455,563976.0,5751249.0,-62500.0,Hong Kong,00019,32.126,,3,Fairly Valued,Narrow,Industrials,industrials,"{'trend': [4843833.0, 4559221.0, 5609126.0, 5751249.0]}",Equity,HK0019000162,,,,,,2026-02-06T06:00:00.000,,,HKD,HKD,,,,0,,,,False,,,,0,,,,37.3258,2.0,2026-01-07T06:00:00.000,High,,,4,Qual,ST,HKG,Hong Kong Dollar,5751249.0,False
The Wharf (Holdings) Ltd,0P00009RP2,0P00009RP2,E,0.14891,1676039.0,5541405.0,158000.0,Hong Kong,00004,44.9324,,3,Fairly Valued,,Real Estate,realEstate,"{'trend': [5098659.0, 4706462.0, 5591276.0, 5541405.0]}",Equity,HK0004000045,,,,,,2026-02-06T06:00:00.000,,,HKD,HKD,,,,0,,,,False,,,,0,,,,18.2532,4.0,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,HKG,Hong Kong Dollar,5541405.0,False
