securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
Svenska Cellulosa AB Class B,0P0000A6H4,0P0000A6H4,E,0.50942,122196.0,1392074.0,0.0,Sweden,SCA B,-17.1677,,4,Undervalued,,Basic Materials,basicMaterials,"{'trend': [1401136.0, 1421173.0, 1336125.0, 1392074.0]}",Equity,SE0000112724,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,16.3094,4,2026-01-07T06:00:00.000,Low,,,4,Quan,ST,SWE,Swedish Krona,1392073.58,False
Industrivarden AB Class C,0P0000A6GJ,0P0000A6GJ,E,0.50904,30736.0,1391049.0,0.0,Sweden,INDU C,22.9895,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [1178891.0, 1234383.0, 1297899.0, 1391049.0]}",Equity,SE0000107203,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,14.3008,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,SWE,Swedish Krona,1391049.33,False
Evolution AB,0P00015JMP,0P00015JMP,E,0.49161,26732.0,1343424.0,0.0,Sweden,EVO,-31.2681,,3,Fairly Valued,,Consumer Cyclical,consumerCyclical,"{'trend': [1595368.0, 1562779.0, 1484956.0, 1343424.0]}",Equity,SE0012673267,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,20.0381,3,2026-01-07T06:00:00.000,Medium,,,3,Quan,ST,SWE,Swedish Krona,1343424.04,True
Stora Enso Oyj Class R,0P0000A5VY,0P0000A5VY,E,0.48744,117151.0,1332007.0,0.0,Finland,STERV,8.1537,,3,Fairly Valued,,Consumer Cyclical,consumerCyclical,"{'trend': [1223083.0, 1288058.0, 1197283.0, 1332007.0]}",Equity,FI0009005961,,,,,,2025-06-02T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,14.296,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,FIN,Euro,1332006.87,False
Yara International ASA,0P0000BA9P,0P0000BA9P,E,0.48209,32538.0,1317400.0,0.0,Norway,YAR,48.7728,,3,Fairly Valued,,Basic Materials,basicMaterials,"{'trend': [1072581.0, 1195398.0, 1269949.0, 1317400.0]}",Equity,NO0010208051,,,,,,2025-06-02T05:00:00.000,,,NOK,,,,,0,,,,False,,,,0,,,,25.8285,3,2026-01-07T06:00:00.000,Medium,,,3,Quan,ST,NOR,Norwegian Krone,1317399.55,False
Elisa Oyj Class A,0P0000A603,0P0000A603,E,0.45224,29257.0,1235816.0,0.0,Finland,ELISA,4.986,,5,Undervalued,,Communication Services,communicationsServices,"{'trend': [1117805.0, 1074458.0, 1087775.0, 1235816.0]}",Equity,FI0009007884,,,,,,2025-06-02T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,16.496,4,2026-01-07T06:00:00.000,Low,,,5,Quan,ST,FIN,Euro,1235815.68,False
A P Moller Maersk AS Class A,0P0000A5RS,0P0000A5RS,E,0.44832,589.0,1225104.0,0.0,Denmark,MAERSK A,38.715,,4,Undervalued,None,Industrials,industrials,"{'trend': [1032810.0, 1185862.0, 1224109.0, 1225104.0]}",Equity,DK0010244425,,,,,,2025-06-02T05:00:00.000,,,DKK,,,,,0,,,,False,,,,0,,,,15.527,4,2026-01-07T06:00:00.000,Low,,,4,Quan,ST,DNK,Danish Krone,1225104.23,False
Indutrade AB,0P0000A6MQ,0P0000A6MQ,E,0.42512,54961.0,1161729.0,0.0,Sweden,INDT,-27.75,,3,Fairly Valued,,Industrials,industrials,"{'trend': [1206770.0, 1253402.0, 1097018.0, 1161729.0]}",Equity,SE0001515552,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,18.6576,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,SWE,Swedish Krona,1161728.88,False
Kesko Oyj Class B,0P0000A5W7,0P0000A5W7,E,0.423,54939.0,1155917.0,0.0,Finland,KESKOB,21.6717,,5,Undervalued,,Consumer Defensive,consumerDefensive,"{'trend': [1041078.0, 1086220.0, 1166904.0, 1155917.0]}",Equity,FI0009000202,,,,,,2025-06-02T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,18.613,4,2026-01-07T06:00:00.000,Low,,,5,Quan,ST,FIN,Euro,1155916.56,False
Pandora AS,0P0000Q1VF,0P0000Q1VF,E,0.41654,15890.0,1138274.0,0.0,Denmark,PNDORA,-56.2149,,5,Undervalued,Narrow,Consumer Cyclical,consumerCyclical,"{'trend': [1682645.0, 1546223.0, 1031998.0, 1138274.0]}",Equity,DK0060252690,,,,,,2025-06-02T05:00:00.000,,,DKK,,,,,0,,,,False,,,,0,,,,15.1711,4,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,DNK,Danish Krone,1138273.78,True
