,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
75,Sands China Ltd Shs Unitary 144A/Reg S,0P0000N8VY,0P0000N8VY,E,0.31301,3932000.0,10510126.0,-20400.0,Macao,01928,-3.105,17.1821,3,Fairly Valued,Narrow,Consumer Cyclical,consumerCyclical,"{'trend': [11061411.0, 10381197.0, 10706741.0, 10510126.0]}",Equity,KYG7800X1079,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,16.6738,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,CYM,Hong Kong Dollar,10510126.0,False
76,Vicinity Centres,0P0000UUDU,0P0000UUDU,ER,0.30817,6338337.0,10347836.0,-33414.0,Australia,VCX,31.7073,17.0648,3,Fairly Valued,None,Real Estate,realEstate,"{'trend': [10379033.0, 10305770.0, 10225470.0, 10347836.0]}",Equity,AU000000VCX7,,,,,,2019-10-17T05:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,11.5333,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,10347836.0,False
77,Infratil Ltd,0P00007XVO,0P00007XVO,E,0.29754,1508671.0,9990662.0,-7953.0,New Zealand,IFT,-3.4583,48.3092,3,Fairly Valued,,Industrials,industrials,"{'trend': [11400378.0, 11311229.0, 10106867.0, 9990662.0]}",Equity,NZIFTE0003S3,,,,,,2025-11-07T06:00:00.000,,,NZD,NZD,,,,0,,,,,,,0,,,,6.561,5.0,2025-12-03T06:00:00.000,Negligible,,,3,Quan,ST,NZL,New Zealand Dollar,9990662.0,False
78,MTR Corp Ltd,0P00009RQJ,0P00009RQJ,E,0.29632,2550277.0,9949934.0,-12000.0,Hong Kong,00066,14.484,14.43,3,Fairly Valued,Narrow,Industrials,industrials,"{'trend': [8714707.0, 9468991.0, 10115155.0, 9949934.0]}",Equity,HK0066009694,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,21.7917,3.0,2025-12-03T06:00:00.000,Medium,,,4,Qual,ST,HKG,Hong Kong Dollar,9949934.0,False
79,SGH Ltd,0P0000NPEP,0P0000NPEP,E,0.29261,329879.0,9825318.0,-1737.0,Australia,SGH,0.9574,19.1939,3,Fairly Valued,Narrow,Industrials,industrials,"{'trend': [11011926.0, 10620963.0, 10230466.0, 9825318.0]}",Equity,AU0000364754,,,,,,2024-02-29T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,22.379,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,9825318.0,False
80,HKT Trust and HKT Ltd,0P0000UOQB,0P0000UOQB,E,0.27499,6125540.0,9233652.0,-33000.0,Hong Kong,06823,31.7375,,3,Fairly Valued,,Communication Services,communicationsServices,"{'trend': [9151177.0, 9057848.0, 9362660.0, 9233652.0]}",Equity,HK0000093390,,,,,,2013-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,25.763,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,HKG,Hong Kong Dollar,9233652.0,False
81,Henderson Land Development Co Ltd,0P00009RP9,0P00009RP9,E,0.26187,2385759.0,8792995.0,-12000.0,Hong Kong,00012,25.04,13.3333,3,Fairly Valued,None,Real Estate,realEstate,"{'trend': [8484657.0, 8486203.0, 8990722.0, 8792995.0]}",Equity,HK0012000102,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,17.9297,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,HKG,Hong Kong Dollar,8792995.0,False
82,Wharf Real Estate Investment Co Ltd,0P0001C950,0P0001C950,E,0.24976,2710073.0,8386265.0,-12000.0,Hong Kong,01997,24.0758,10.7875,4,Undervalued,Narrow,Real Estate,realEstate,"{'trend': [8070495.0, 7796996.0, 8549038.0, 8386265.0]}",Equity,KYG9593A1040,,,,,,2017-11-16T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,14.2704,4.0,2025-12-03T06:00:00.000,Low,,,5,Qual,ST,CYM,Hong Kong Dollar,8386265.0,False
83,Sino Land Co Ltd,0P00009RQW,0P00009RQW,E,0.23814,5942972.0,7996160.0,-30000.0,Hong Kong,00083,41.9676,,3,Fairly Valued,,Real Estate,realEstate,"{'trend': [7321253.0, 7478150.0, 7969152.0, 7996160.0]}",Equity,HK0083000502,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,16.4596,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,HKG,Hong Kong Dollar,7996160.0,False
84,Qantas Airways Ltd,0P00006WUB,0P00006WUB,E,0.2292,1201703.0,7695973.0,-6339.0,Australia,QAN,15.2,8.6207,3,Fairly Valued,None,Industrials,industrials,"{'trend': [8773506.0, 8137203.0, 7865033.0, 7695973.0]}",Equity,AU000000QAN2,,,,,,2019-11-26T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,24.915,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,7695973.0,False
85,SITC International Holdings Co Ltd,0P0000PYO6,0P0000PYO6,E,0.22898,2190000.0,7688753.0,-9000.0,Hong Kong,01308,53.4,,2,Overvalued,,Industrials,industrials,"{'trend': [8490797.0, 8152734.0, 7521655.0, 7688753.0]}",Equity,KYG8187G1055,,,,,,2021-08-31T05:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,17.7206,4.0,2025-12-03T06:00:00.000,Low,,,2,Quan,ST,CYM,Hong Kong Dollar,7688753.0,False
