,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
120,EUR - Spendable Cash,,,C,0.00054,15622.0,18187.0,15622.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,EUR,EUR,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Euro,18187.0,
121,AUD/USD Sold,,,CU,0.0,5214275.0,0.0,-5214275.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
122,AUD/USD Sold,,,CU,0.0,10394299.0,0.0,-10394299.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
123,AUD/USD Sold,,,CU,0.0,1350007.0,0.0,-1350007.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
124,AUD/USD Sold,,,CU,0.0,5197150.0,0.0,-5197150.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
125,NZD/USD Sold,,,CU,0.0,177021.0,0.0,-177021.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
126,NZD/USD Sold,,,CU,0.0,354049.0,0.0,-354049.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
127,NZD/USD Sold,,,CU,0.0,177024.0,0.0,-177024.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
128,HKD/USD Sold,,,CU,0.0,6488796.0,0.0,-6488796.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
129,HKD/USD Sold,,,CU,0.0,6440868.0,0.0,-6440868.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
130,HKD/USD Sold,,,CU,0.0,12881736.0,0.0,-12881736.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
131,SGD/USD Sold,,,CU,0.0,624790.0,0.0,-624790.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
132,SGD/USD Sold,,,CU,0.0,625636.0,0.0,-625636.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
133,SGD/USD Sold,,,CU,0.0,1251272.0,0.0,-1251272.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
134,SGD/USD Sold,,,CU,0.0,481680.0,0.0,481680.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
135,HKD/USD Sold,,,CU,0.0,833822.0,0.0,833822.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
136,NZD/USD Sold,,,CU,0.0,102397.0,0.0,102397.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
137,AUD/USD Sold,,,CU,0.0,3464328.0,0.0,3464328.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
138,HKD/USD Sold,,,CU,0.0,827696.0,0.0,827696.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
139,HKD/USD Sold,,,CU,0.0,1655393.0,0.0,1655393.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
140,SGD/USD Sold,,,CU,0.0,482871.0,0.0,482871.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
141,SGD/USD Sold,,,CU,0.0,965741.0,0.0,965741.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
142,AUD/USD Sold,,,CU,0.0,6898135.0,0.0,6898135.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
143,AUD/USD Sold,,,CU,0.0,895927.0,0.0,895927.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
144,AUD/USD Sold,,,CU,0.0,3449068.0,0.0,3449068.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
145,NZD/USD Sold,,,CU,0.0,204585.0,0.0,204585.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
146,NZD/USD Sold,,,CU,0.0,102293.0,0.0,102293.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,0.0,
147,NZD/USD Purchased,,,CU,-0.00305,177021.0,-102287.0,-177021.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,New Zealand Dollar,-102287.0,
148,NZD/USD Purchased,,,CU,-0.00305,177024.0,-102294.0,-177024.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,New Zealand Dollar,-102294.0,
149,NZD/USD Purchased,,,CU,-0.00609,354049.0,-204587.0,-354049.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,New Zealand Dollar,-204587.0,
150,USD - OTHER PAYABLES/RECEIVABLES,,,C,-0.00638,214362.0,-214362.0,-214362.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,-214362.0,
151,SGD/USD Purchased,,,CU,-0.01436,624790.0,-482184.0,-624790.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Singapore Dollar,-482184.0,
152,SGD/USD Purchased,,,CU,-0.01438,625636.0,-482874.0,-625636.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Singapore Dollar,-482874.0,
153,HKD/USD Purchased,,,CU,-0.02465,6440868.0,-827705.0,-6440868.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,-827705.0,
154,HKD/USD Purchased,,,CU,-0.02483,6488796.0,-833820.0,-6488796.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,-833820.0,
155,AUD/USD Purchased,,,CU,-0.02668,1350007.0,-895932.0,-1350007.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Australian Dollar,-895932.0,
156,SGD/USD Purchased,,,CU,-0.02876,1251272.0,-965748.0,-1251272.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Singapore Dollar,-965748.0,
157,HKD/USD Purchased,,,CU,-0.0493,12881736.0,-1655410.0,-12881736.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,-1655410.0,
158,AUD/USD Purchased,,,CU,-0.10272,5197150.0,-3449088.0,-5197150.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Australian Dollar,-3449088.0,
159,AUD/USD Purchased,,,CU,-0.10306,5214275.0,-3460454.0,-5214275.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Australian Dollar,-3460454.0,
160,AUD/USD Purchased,,,CU,-0.20544,10394299.0,-6898177.0,-10394299.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Australian Dollar,-6898177.0,
161,USD - Spendable Cash,,,C,-0.53671,18021638.0,-18021638.0,-18021638.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,-18021638.0,
162,Cash Offset,,,CQ,-0.61006,20484550.0,-20484549.0,,,,,,,,,,,,Other,,,,,,,,,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,,-20484549.0,
