securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
Godrej Properties Ltd,0P0000P1F9,0P0000P1F9,E,0.17801,214984.0,4843356.0,0.0,India,GODREJPROP,-27.9567,,3,Fairly Valued,,Real Estate,realEstate,"{'trend': [4428986.0, 5290961.0, 4911257.0, 4843356.0]}",Equity,INE484J01027,,,,,,2019-09-23T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,15.0598,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,4843355.99,False
FSN E-Commerce Ventures Ltd,0P0001NQKU,0P0001NQKU,E,0.17642,1738020.0,4800209.0,0.0,India,543384,47.9388,,2,Overvalued,,Consumer Cyclical,consumerCyclical,"{'trend': [4226201.0, 4635256.0, 5019128.0, 4800209.0]}",Equity,INE388Y01029,,,,,,2022-06-21T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,23.3589,3.0,2025-12-03T06:00:00.000,Medium,,,2,Quan,ST,IND,Indian Rupee,4800209.08,False
Tube Investments of India Ltd Ordinary Shares,0P0001C0S4,0P0001C0S4,E,0.17613,163332.0,4792313.0,0.0,India,540762,-27.3105,,3,Fairly Valued,,Industrials,industrials,"{'trend': [5292575.0, 5311068.0, 4913164.0, 4792313.0]}",Equity,INE974X01010,,,,,,2022-03-18T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,26.4775,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4792313.27,False
Siemens Ltd,0P0000CLLM,0P0000CLLM,E,0.17425,134016.0,4741101.0,0.0,India,500550,-33.2927,,3,Fairly Valued,,Industrials,industrials,"{'trend': [4388202.0, 4463464.0, 4773467.0, 4741101.0]}",Equity,INE003A01024,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,29.6138,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4741100.59,True
Adani Green Energy Ltd,0P0001DJ83,0P0001DJ83,E,0.17298,417404.0,4706449.0,0.0,India,541450,-14.6708,,3,Fairly Valued,,Utilities,utilities,"{'trend': [4484977.0, 5118396.0, 4726711.0, 4706449.0]}",Equity,INE364U01010,,,,,,2020-09-21T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,11.8006,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,4706448.95,False
Glenmark Pharmaceuticals Ltd,0P0000CAVO,0P0000CAVO,E,0.17216,216380.0,4684182.0,0.0,India,532296,28.9704,,3,Fairly Valued,,Healthcare,healthcare,"{'trend': [4421293.0, 4401766.0, 4549492.0, 4684182.0]}",Equity,INE935A01035,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,26.2117,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4684182.17,False
PI Industries Ltd,0P0000TI9R,0P0000TI9R,E,0.17062,124244.0,4642220.0,0.0,India,PIIND,-17.8839,,3,Fairly Valued,,Basic Materials,basicMaterials,"{'trend': [4567852.0, 4780962.0, 4557748.0, 4642220.0]}",Equity,INE603J01030,,,,,,2020-09-21T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,30.1618,2.0,2025-12-03T06:00:00.000,High,,,3,Quan,ST,IND,Indian Rupee,4642219.51,False
ABB India Ltd,0P0000C20B,0P0000C20B,E,0.16968,79572.0,4616858.0,0.0,India,500002,-30.5316,,3,Fairly Valued,,Industrials,industrials,"{'trend': [4315819.0, 4467897.0, 4448657.0, 4616858.0]}",Equity,INE117A01022,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,22.55,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4616858.06,False
Vishal Mega Mart Ltd,0P0001UC0Q,0P0001UC0Q,E,0.16859,3146584.0,4587107.0,0.0,India,VMM,,71.9424,2,Overvalued,,Consumer Cyclical,consumerCyclical,"{'trend': [4906269.0, 4897227.0, 4616336.0, 4587107.0]}",Equity,INE01EA01019,,,,,,2025-06-24T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,,,,,,,2,Quan,ST,IND,Indian Rupee,4587106.91,False
Punjab National Bank,0P0000C3CS,0P0000C3CS,E,0.16784,3509544.0,4566622.0,0.0,India,532461,11.9666,7.1378,3,Fairly Valued,,Financial Services,financialService,"{'trend': [4143543.0, 4639163.0, 4720395.0, 4566622.0]}",Equity,INE160A01022,,,,,,2024-05-16T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,27.2009,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4566621.53,False
Canara Bank,0P0000BLBO,0P0000BLBO,E,0.16597,2779436.0,4515757.0,0.0,India,532483,40.093,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [3597975.0, 4095604.0, 4551525.0, 4515757.0]}",Equity,INE476A01022,,,,,,2024-05-16T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,27.1682,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4515756.79,False
Coromandel International Ltd,0P0000BRYW,0P0000BRYW,E,0.16473,180084.0,4482219.0,0.0,India,506395,31.4411,,2,Overvalued,,Basic Materials,basicMaterials,"{'trend': [4236872.0, 4115520.0, 4634399.0, 4482219.0]}",Equity,INE169A01031,,,,,,2020-09-21T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,34.2499,2.0,2025-12-03T06:00:00.000,High,,,2,Quan,ST,IND,Indian Rupee,4482219.11,False
360 One Wam Ltd Ordinary Shares,0P0001IG9O,0P0001IG9O,E,0.16382,354584.0,4457269.0,0.0,India,542772,-3.7698,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [3799406.0, 4121893.0, 4532477.0, 4457269.0]}",Equity,INE466L01038,,,,,,2025-09-08T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,24.3821,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4457268.63,False
NMDC Ltd,0P0000EOIY,0P0000EOIY,E,0.16255,5306196.0,4422662.0,0.0,India,526371,1.2173,,4,Undervalued,,Basic Materials,basicMaterials,"{'trend': [4239249.0, 4325812.0, 4237440.0, 4422662.0]}",Equity,INE584A01023,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,37.5868,2.0,2025-12-03T06:00:00.000,High,,,4,Quan,ST,IND,Indian Rupee,4422661.95,False
Bharti Airtel Ltd (Partly Paid Rs.1.25),0P0001NP3U,0P0001NP3U,E,0.16214,258260.0,4411614.0,0.0,India,890157,31.2191,,3,Fairly Valued,,Communication Services,communicationsServices,"{'trend': [3804205.0, 4352127.0, 4440958.0, 4411614.0]}",Equity,IN9397D01014,,,,,,2022-09-19T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,19.204,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,4411614.16,False
Prestige Estates Projects Ltd,0P0000Q71M,0P0000Q71M,E,0.16043,238716.0,4365077.0,0.0,India,533274,-4.5734,,3,Fairly Valued,,Real Estate,realEstate,"{'trend': [3772106.0, 4479966.0, 4325642.0, 4365077.0]}",Equity,INE811K01011,,,,,,2024-03-19T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,23.7809,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4365077.47,False
SBI Cards and Payment Services Ltd Ordinary Shares,0P0001JFNJ,0P0001JFNJ,E,0.16016,450908.0,4357621.0,0.0,India,543066,20.5719,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [4137704.0, 4261635.0, 4287488.0, 4357621.0]}",Equity,INE018E01016,,,,,,2020-09-21T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,14.3968,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,4357621.22,False
GMR Airports Ltd,0P0000BCOM,0P0000BCOM,E,0.15886,3978600.0,4322277.0,0.0,India,532754,23.6527,,3,Fairly Valued,,Industrials,industrials,"{'trend': [3630307.0, 4021535.0, 4657121.0, 4322277.0]}",Equity,INE776C01039,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,18.0418,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,4322277.42,False
Shree Cement Ltd,0P0000BC2R,0P0000BC2R,E,0.15723,14821.0,4277922.0,0.0,India,500387,-2.755,40.4858,3,Fairly Valued,,Basic Materials,basicMaterials,"{'trend': [4558733.0, 4525646.0, 4235629.0, 4277922.0]}",Equity,INE070A01015,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,28.7499,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4277922.42,False
Hitachi Energy India Ltd Ordinary Shares,0P0001JJ24,0P0001JJ24,E,0.15287,19544.0,4159494.0,0.0,India,543187,48.7304,,3,Fairly Valued,,Industrials,industrials,"{'trend': [3681347.0, 3737393.0, 4656917.0, 4159494.0]}",Equity,INE07Y701011,,,,,,2024-09-25T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,14.1857,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,4159494.44,False
Mankind Pharma Ltd,0P0001QV8A,0P0001QV8A,E,0.15257,173104.0,4151201.0,0.0,India,543904,-17.7322,,3,Fairly Valued,,Healthcare,healthcare,"{'trend': [4411919.0, 4439006.0, 4209601.0, 4151201.0]}",Equity,INE634S01028,,,,,,2023-12-19T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,32.7384,2.0,2025-12-03T06:00:00.000,High,,,3,Quan,ST,IND,Indian Rupee,4151200.79,False
Multi Commodity Exchange of India Ltd,0P0000VOFS,0P0000VOFS,E,0.15237,37692.0,4145682.0,0.0,India,MCX,52.7109,,2,Overvalued,,Financial Services,financialService,"{'trend': [3074805.0, 3747641.0, 4101927.0, 4145682.0]}",Equity,INE745G01035,,,,,,2025-09-30T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,19.4964,4.0,2025-12-03T06:00:00.000,Low,,,2,Quan,ST,IND,Indian Rupee,4145681.99,False
KEI Industries Ltd,0P0000BFN7,0P0000BFN7,E,0.15206,92136.0,4137274.0,0.0,India,517569,-10.3392,,4,Undervalued,,Industrials,industrials,"{'trend': [3916498.0, 3995970.0, 4126436.0, 4137274.0]}",Equity,INE878B01027,,,,,,2024-09-25T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,31.2791,2.0,2025-12-03T06:00:00.000,High,,,4,Quan,ST,IND,Indian Rupee,4137274.01,False
JSW Energy Ltd,0P0000MZAF,0P0000MZAF,E,0.15181,815264.0,4130683.0,0.0,India,JSWENERGY,-29.3397,,3,Fairly Valued,,Utilities,utilities,"{'trend': [4528629.0, 4625428.0, 4303824.0, 4130683.0]}",Equity,INE121E01018,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,31.8035,2.0,2025-12-03T06:00:00.000,High,,,3,Quan,ST,IND,Indian Rupee,4130682.96,False
L&T Finance Ltd,0P0000TV9C,0P0000TV9C,E,0.15179,1236856.0,4129926.0,0.0,India,533519,110.4371,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [3226288.0, 3598676.0, 4173678.0, 4129926.0]}",Equity,INE498L01015,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,16.822,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,4129925.91,False
Torrent Power Ltd,0P0000BJ71,0P0000BJ71,E,0.1515,290368.0,4122130.0,0.0,India,532779,-22.5502,,3,Fairly Valued,,Utilities,utilities,"{'trend': [3703509.0, 4111895.0, 4123516.0, 4122130.0]}",Equity,INE813H01021,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,41.0182,1.0,2025-12-03T06:00:00.000,Severe,,,3,Quan,ST,IND,Indian Rupee,4122129.75,False
NHPC Ltd,0P0000PT68,0P0000PT68,E,0.14706,4714292.0,4001318.0,0.0,India,533098,-7.1,,3,Fairly Valued,,Utilities,utilities,"{'trend': [4258185.0, 4302189.0, 3908378.0, 4001318.0]}",Equity,INE848E01016,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,24.1142,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,4001317.62,False
